metric,value
parent_rows,1838
unique_parent_source_ids,1838
duplicate_parent_source_ids,0
known_candidate_rows,27
known_candidates_found_in_parent,27
known_candidates_missing_from_parent,0
core_complete_rows,1838
extended_complete_rows,1838
known_candidate_overlap_rows,27
metal_poor_candidate_positive_in_overlap,27
high_vtan_candidate_positive_in_overlap,27
chemo_kinematic_candidate_positive_in_overlap,27
sklearn_hdbscan_available,True
optics_available,True
gmm_available,True
recommended_scaler,RobustScaler
preclipping_required,False
primary_feature_count,5
extended_feature_count,7
