group,metric,n,median,iqr_low,iqr_high,minimum,maximum,category,fraction
recovered_known_candidate,selection_frequency,24,0.9451219512195121,0.7713414634146342,0.9664634146341463,0.6463414634146342,0.9878048780487804,,
recovered_known_candidate,Lz_kpc_kms,24,-280.9594373167506,-892.6895096545,229.80608117219737,-1952.2699475483269,2417.299615178472,,
recovered_known_candidate,Lperp_kpc_kms,24,534.896085025353,204.20078115909823,845.0168463759728,37.14107750319141,3531.4575141993287,,
recovered_known_candidate,Ltot_kpc_kms,24,981.8876134263191,546.6390953803507,1254.7158612191465,160.59738261570232,3659.9172711105016,,
recovered_known_candidate,galpy_eccentricity,24,0.8029796886430844,0.6672378962711325,0.9204652930182906,0.2553675077008158,0.9807297947857754,,
recovered_known_candidate,galpy_zmax_kpc,24,3.5522712120320614,1.7232298128705057,6.684607902332503,0.4670950047017724,52.847639658481675,,
recovered_known_candidate,galpy_rperi_kpc,24,1.5898302645475875,0.6512582703290541,2.942632668266212,0.0887948405884475,9.389509171256536,,
recovered_known_candidate,galpy_rap_kpc,24,13.178080517047217,11.191025893144747,18.94184463416891,9.07978396387073,55.088451589895655,,
recovered_known_candidate,galpy_energy,24,-46736.14660249825,-55182.54863815664,-31932.201487398703,-68166.89699515115,11032.924216938049,,
additional_gmm_member,selection_frequency,8,0.23170731707317072,0.2012195121951219,0.6737804878048781,0.1341463414634146,0.8658536585365854,,
additional_gmm_member,Lz_kpc_kms,0,,,,,,,
additional_gmm_member,Lperp_kpc_kms,0,,,,,,,
additional_gmm_member,Ltot_kpc_kms,0,,,,,,,
additional_gmm_member,galpy_eccentricity,0,,,,,,,
additional_gmm_member,galpy_zmax_kpc,0,,,,,,,
additional_gmm_member,galpy_rperi_kpc,0,,,,,,,
additional_gmm_member,galpy_rap_kpc,0,,,,,,,
additional_gmm_member,galpy_energy,0,,,,,,,
omitted_known_candidate,selection_frequency,3,0.0609756097560975,0.04268292682926825,0.073170731707317,0.024390243902439,0.0853658536585365,,
omitted_known_candidate,Lz_kpc_kms,3,-3615.318634909221,-3719.693601320096,-2663.5953760258853,-3824.068567730971,-1711.872117142549,,
omitted_known_candidate,Lperp_kpc_kms,3,587.1092658147543,563.9197060673914,596.8993991893908,540.7301463200286,606.6895325640273,,
omitted_known_candidate,Ltot_kpc_kms,3,3665.869749574394,2737.811031431803,3763.989606135281,1809.752313289212,3862.109462696168,,
omitted_known_candidate,galpy_eccentricity,3,0.3759293469872029,0.357227365033657,0.3970093004825266,0.3385253830801111,0.4180892539778503,,
omitted_known_candidate,galpy_zmax_kpc,3,3.945630625688646,3.5489210903508095,4.055824784436452,3.152211555012973,4.166018943184258,,
omitted_known_candidate,galpy_rperi_kpc,3,12.842646358806537,9.126020188699338,13.009681489078512,5.409394018592137,13.176716619350486,,
omitted_known_candidate,galpy_rap_kpc,3,25.987706402445095,19.585073230011623,27.519637265872806,13.182440057578148,29.051568129300517,,
omitted_known_candidate,galpy_energy,3,-9267.096076212742,-24456.409253259626,-7596.034277087292,-39645.72243030651,-5924.972477961843,,
parent_comparison,selection_frequency,1803,0.0,0.0,0.0,0.0,0.3902439024390244,,
parent_comparison,Lz_kpc_kms,0,,,,,,,
parent_comparison,Lperp_kpc_kms,0,,,,,,,
parent_comparison,Ltot_kpc_kms,0,,,,,,,
parent_comparison,galpy_eccentricity,0,,,,,,,
parent_comparison,galpy_zmax_kpc,0,,,,,,,
parent_comparison,galpy_rperi_kpc,0,,,,,,,
parent_comparison,galpy_rap_kpc,0,,,,,,,
parent_comparison,galpy_energy,0,,,,,,,
recovered_known_candidate,rotation_class,11,,,,,,low_Lz_or_radial,0.4583333333333333
recovered_known_candidate,rotation_class,9,,,,,,retrograde,0.375
recovered_known_candidate,rotation_class,4,,,,,,prograde,0.16666666666666666
recovered_known_candidate,inclination_proxy_class,16,,,,,,low_Lperp,0.6666666666666666
recovered_known_candidate,inclination_proxy_class,6,,,,,,moderate_Lperp,0.25
recovered_known_candidate,inclination_proxy_class,2,,,,,,high_Lperp,0.08333333333333333
recovered_known_candidate,orbit_am_consistency_label,21,,,,,,consistent,0.875
recovered_known_candidate,orbit_am_consistency_label,3,,,,,,partially_consistent,0.125
recovered_known_candidate,orbital_family_interpretation,10,,,,,,radial_metal_poor_halo_like,0.4166666666666667
recovered_known_candidate,orbital_family_interpretation,6,,,,,,retrograde_low_inclination_halo_like,0.25
recovered_known_candidate,orbital_family_interpretation,3,,,,,,prograde_hot_or_metal_poor_candidate,0.125
recovered_known_candidate,orbital_family_interpretation,2,,,,,,retrograde_moderate_inclination_halo_like,0.08333333333333333
recovered_known_candidate,orbital_family_interpretation,1,,,,,,low_Lz_or_radial_candidate,0.041666666666666664
recovered_known_candidate,orbital_family_interpretation,1,,,,,,prograde_high_inclination_halo_like,0.041666666666666664
recovered_known_candidate,orbital_family_interpretation,1,,,,,,retrograde_high_inclination_halo_like,0.041666666666666664
recovered_known_candidate,project_iii_population_group,12,,,,,,retrograde_halo,0.5
recovered_known_candidate,project_iii_population_group,4,,,,,,radial_halo_or_gse_like,0.16666666666666666
recovered_known_candidate,project_iii_population_group,3,,,,,,prograde_hot_or_heated_disk,0.125
recovered_known_candidate,project_iii_population_group,3,,,,,,retrograde_uncertain,0.125
recovered_known_candidate,project_iii_population_group,1,,,,,,general_halo,0.041666666666666664
recovered_known_candidate,project_iii_population_group,1,,,,,,high_inclination_halo,0.041666666666666664
recovered_known_candidate,project_iii_population_label,10,,,,,,retrograde_halo_candidate,0.4166666666666667
recovered_known_candidate,project_iii_population_label,4,,,,,,radial_halo_gse_like_candidate,0.16666666666666666
