comparison,metric,test,n_a,n_b,median_a,median_b,median_a_ci95_low,median_a_ci95_high,median_b_ci95_low,median_b_ci95_high,effect_size_cliffs_delta,p_value,interpretation_note,fraction_a,fraction_b,spearman_rho
recovered_known_candidate_vs_omitted_known_candidate,selection_frequency,mann_whitney_u_two_sided,24,3.0,0.9451219512195121,0.0609756097560975,0.8596036585365854,0.9634146341463414,0.024390243902439,0.0853658536585365,1.0,0.006009118724940807,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,Lz_kpc_kms,mann_whitney_u_two_sided,24,3.0,-280.9594373167506,-3615.318634909221,-845.8642454880404,110.09543752887312,-3824.068567730971,-1711.872117142549,0.9722222222222222,0.0013675213675213675,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,Lperp_kpc_kms,mann_whitney_u_two_sided,24,3.0,534.896085025353,587.1092658147543,244.49286591873985,794.7402718576487,540.7301463200286,606.6895325640273,-0.05555555555555555,0.9135042735042733,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,Ltot_kpc_kms,mann_whitney_u_two_sided,24,3.0,981.8876134263191,3665.869749574394,598.9288830004216,1184.7396792230898,1809.752313289212,3862.109462696168,-0.9166666666666666,0.004786324786324786,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,galpy_eccentricity,mann_whitney_u_two_sided,24,3.0,0.8029796886430844,0.3759293469872029,0.6880794464817754,0.8928152921810268,0.3385253830801111,0.4180892539778503,0.9166666666666666,0.004786324786324786,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,galpy_zmax_kpc,mann_whitney_u_two_sided,24,3.0,3.5522712120320614,3.945630625688646,1.860634454253714,6.300239289621705,3.152211555012973,4.166018943184258,-0.05555555555555555,0.9135042735042733,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,galpy_rperi_kpc,mann_whitney_u_two_sided,24,3.0,1.5898302645475875,12.842646358806537,0.7786986358797059,2.734667912704435,5.409394018592137,13.176716619350486,-0.9166666666666666,0.004786324786324786,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,galpy_rap_kpc,mann_whitney_u_two_sided,24,3.0,13.178080517047217,25.987706402445095,11.609637486362953,17.925586002658054,13.182440057578148,29.051568129300517,-0.5555555555555556,0.13948717948717948,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,galpy_energy,mann_whitney_u_two_sided,24,3.0,-46736.14660249825,-9267.096076212742,-53109.78587004303,-33312.611034567744,-39645.72243030651,-5924.972477961843,-0.6111111111111112,0.10051282051282051,Exploratory only; omitted group has n=3.,,,
recovered_known_candidate_vs_omitted_known_candidate,galpy_orbit_radial_flag,fisher_exact_two_sided,24,3.0,,,,,,,,0.05641025641025641,Exploratory only; omitted group has n=3.,0.6666666666666666,0.0,
recovered_known_candidate_vs_omitted_known_candidate,galpy_orbit_high_zmax_flag,fisher_exact_two_sided,24,3.0,,,,,,,,0.24786324786324787,Exploratory only; omitted group has n=3.,0.5416666666666666,1.0,
recovered_known_candidate_vs_omitted_known_candidate,galpy_orbit_inner_halo_like_flag,fisher_exact_two_sided,24,3.0,,,,,,,,1.0,Exploratory only; omitted group has n=3.,0.875,1.0,
recovered_known_candidate_vs_omitted_known_candidate,galpy_orbit_disk_confined_flag,fisher_exact_two_sided,24,3.0,,,,,,,,1.0,Exploratory only; omitted group has n=3.,0.0,0.0,
selection_frequency_vs_candidate_heldout_metric,galpy_eccentricity,spearman_rank,27,,,,,,,,,0.00033935506545050066,Selection frequency is derived from GMM perturbation tests; it is not physical evidence by itself.,,,0.6383985834122372
selection_frequency_vs_candidate_heldout_metric,galpy_zmax_kpc,spearman_rank,27,,,,,,,,,0.9082794101615321,Selection frequency is derived from GMM perturbation tests; it is not physical evidence by itself.,,,0.023270164191525194
selection_frequency_vs_candidate_heldout_metric,Lz_kpc_kms,spearman_rank,27,,,,,,,,,0.11200109836719117,Selection frequency is derived from GMM perturbation tests; it is not physical evidence by itself.,,,0.31292247110182564
selection_frequency_vs_candidate_heldout_metric,Lperp_kpc_kms,spearman_rank,27,,,,,,,,,0.3663815252427013,Selection frequency is derived from GMM perturbation tests; it is not physical evidence by itself.,,,-0.18095614522620254
