algorithm,label,is_noise,group_size,candidate_count,candidate_fraction,candidate_recall,enrichment_over_parent
HDBSCAN,-1,True,804,27,0.033582089552238806,1.0,2.2860696517412933
HDBSCAN,0,False,898,0,0.0,0.0,0.0
HDBSCAN,1,False,136,0,0.0,0.0,0.0
OPTICS,0,False,1838,27,0.014689880304679,1.0,1.0
GMM,0,False,196,0,0.0,0.0,0.0
GMM,1,False,291,0,0.0,0.0,0.0
GMM,2,False,263,0,0.0,0.0,0.0
GMM,3,False,266,0,0.0,0.0,0.0
GMM,4,False,337,0,0.0,0.0,0.0
GMM,5,False,32,24,0.75,0.8888888888888888,51.05555555555555
GMM,6,False,122,0,0.0,0.0,0.0
GMM,7,False,294,3,0.01020408163265306,0.1111111111111111,0.6946334089191231
GMM,8,False,37,0,0.0,0.0,0.0
