run_key,experiment_family,experiment_name,run_id,random_state,train_fraction,train_size,scaler,features,n_features,n_components,covariance_type,n_init,converged,n_iter,lower_bound,bic_all,aic_all,ari_vs_m2_gmm,matched_label,matched_group_size,reference_overlap_count,reference_recall,jaccard_overlap,candidate_count,candidate_fraction,candidate_enrichment,reference_candidates_selected,new_members_selected,omitted_candidates_selected
baseline_reproduction:m2_locked:baseline,baseline_reproduction,m2_locked,baseline,42,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,55,-4.109660156006034,16518.065977508253,15480.976516560113,1.0,5,32,32,1.0,1.0,24,0.75,51.05555555555555,24,8,0
random_seed_stability:seed:seed_00,random_seed_stability,seed,seed_00,0,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,41,-4.153228036240741,16678.456636361545,15641.367175413405,0.5559820400795054,1,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_01,random_seed_stability,seed,seed_01,1,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,36,-4.154286762771375,16681.948277704152,15644.858816756012,0.5602252540420344,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_02,random_seed_stability,seed,seed_02,2,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,37,-4.14173837475691,16635.321948065015,15598.232487116875,0.45568084384891405,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_03,random_seed_stability,seed,seed_03,3,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,40,-4.176753702929953,16763.570955366078,15726.481494417938,0.43904179716221914,1,26,21,0.65625,0.5675675675675675,19,0.7307692307692307,49.74643874643874,19,2,0
random_seed_stability:seed:seed_04,random_seed_stability,seed,seed_04,4,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,37,-4.159249198270276,16699.44431842548,15662.354857477341,0.6936846420912136,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_05,random_seed_stability,seed,seed_05,5,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,35,-4.1553676704834,16685.51009644013,15648.420635491993,0.6873729737552655,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_06,random_seed_stability,seed,seed_06,6,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,36,-4.154041839078899,16680.97725972071,15643.88779877257,0.5560064748755389,3,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_07,random_seed_stability,seed,seed_07,7,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,37,-4.163667584002537,16716.258315509476,15679.168854561336,0.48119767334703367,4,22,21,0.65625,0.6363636363636364,19,0.8636363636363636,58.791245791245785,19,2,0
random_seed_stability:seed:seed_08,random_seed_stability,seed,seed_08,8,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,46,-4.153934518483516,16680.500349361304,15643.410888413166,0.5071327851208618,2,27,27,0.84375,0.84375,24,0.8888888888888888,60.51028806584362,24,3,0
random_seed_stability:seed:seed_09,random_seed_stability,seed,seed_09,9,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,41,-4.131682575633652,16598.27310925335,15561.18364830521,0.45330430618630324,2,25,25,0.78125,0.78125,23,0.92,62.62814814814815,23,2,0
random_seed_stability:seed:seed_10,random_seed_stability,seed,seed_10,10,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,35,-4.149595325863067,16664.785229088913,15627.695768140773,0.4980228895122505,2,25,25,0.78125,0.78125,24,0.96,65.35111111111111,24,1,0
random_seed_stability:seed:seed_11,random_seed_stability,seed,seed_11,11,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,33,-4.163971500447392,16717.321459807295,15680.231998859155,0.5167088961548014,5,34,22,0.6875,0.5,20,0.5882352941176471,40.04357298474945,18,4,2
random_seed_stability:seed:seed_12,random_seed_stability,seed,seed_12,12,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,28,-4.143405972695454,16640.94876420289,15603.85930325475,0.6910782524500458,1,36,28,0.875,0.7,24,0.6666666666666666,45.38271604938271,24,4,0
random_seed_stability:seed:seed_13,random_seed_stability,seed,seed_13,13,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,44,-4.175478802680052,16758.968728683936,15721.879267735798,0.4450610142671455,8,27,21,0.65625,0.5526315789473685,19,0.7037037037037037,47.9039780521262,19,2,0
random_seed_stability:seed:seed_14,random_seed_stability,seed,seed_14,14,1.0,1838,RobustScaler,feh;rv;tangential_velocity_kms;bp_rp;absolute_g_mag,5,9,full,5,True,38,-4.172118554497192,16747.409714991034,15710.320254042896,0.5442870845895298,8,22,21,0.65625,0.6363636363636364,19,0.8636363636363636,58.791245791245785,19,2,0
