audit_stage,source_id,field,source_table,availability,value,unit,provenance,missingness,intended_mc_role
local_pre_query,3089534353001157632,astrometric_params_solved,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,dimensionless,local repository file,column missing,quality/completeness audit
local_pre_query,3089534353001157632,dec,data/processed/project_ii_angular_momentum_candidates.csv,column_present_value_missing,,deg,local repository file,value missing,coordinate central value for orbit pipeline
local_pre_query,3089534353001157632,dec_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas,local repository file,column missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
local_pre_query,3089534353001157632,dec_parallax_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089534353001157632,dec_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089534353001157632,dec_pmra_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089534353001157632,duplicated_source,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,boolean,local repository file,column missing,quality/completeness audit
local_pre_query,3089534353001157632,parallax,data/processed/gaia_lamost_candidate_diagnostic_table.csv,available,0.4587656346030645,mas,local repository file,not missing,central value for later correlated astrometric MC
local_pre_query,3089534353001157632,parallax_error,data/processed/project_vi_mc_prototype_candidate_uncertainties.csv,available,0.018229530984877475,mas,local repository file,not missing,standard uncertainty for later parallax/pm covariance matrix
local_pre_query,3089534353001157632,parallax_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,correlation coefficient for 3D parallax/pm covariance matrix
local_pre_query,3089534353001157632,parallax_pmra_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,correlation coefficient for 3D parallax/pm covariance matrix
local_pre_query,3089534353001157632,pmdec,data/processed/gaia_lamost_larger_chemo_kinematic_features.csv,available,-36.28302820325773,mas/yr,local repository file,not missing,central value for later correlated astrometric MC
local_pre_query,3089534353001157632,pmdec_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas/yr,local repository file,column missing,standard uncertainty for later parallax/pm covariance matrix
local_pre_query,3089534353001157632,pmra,data/processed/gaia_lamost_larger_chemo_kinematic_features.csv,available,2.906363530788064,mas/yr,local repository file,not missing,central value for later correlated astrometric MC
local_pre_query,3089534353001157632,pmra_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas/yr,local repository file,column missing,standard uncertainty for later parallax/pm covariance matrix
local_pre_query,3089534353001157632,pmra_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,correlation coefficient for 3D parallax/pm covariance matrix
local_pre_query,3089534353001157632,ra,data/processed/project_ii_angular_momentum_candidates.csv,column_present_value_missing,,deg,local repository file,value missing,coordinate central value for orbit pipeline
local_pre_query,3089534353001157632,ra_dec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089534353001157632,ra_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas,local repository file,column missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
local_pre_query,3089534353001157632,ra_parallax_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089534353001157632,ra_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089534353001157632,ra_pmra_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089534353001157632,radial_velocity,data/processed/project_vi_mc_prototype_candidate_uncertainties.csv,available,-43.26,km/s,local repository file,not missing,radial-velocity central value audit
local_pre_query,3089534353001157632,radial_velocity_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,km/s,local repository file,column missing,radial-velocity measured uncertainty audit
local_pre_query,3089534353001157632,ruwe,data/processed/gaia_lamost_larger_chemo_kinematic_features.csv,available,1.1971784,dimensionless,local repository file,not missing,quality/completeness audit
local_pre_query,3089534353001157632,rv,data/processed/gaia_lamost_candidate_diagnostic_table.csv,available,-43.26,km/s,local repository file,not missing,radial-velocity central value audit
local_pre_query,3089534353001157632,rv_err,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,km/s,local repository file,column missing,radial-velocity measured uncertainty audit
local_pre_query,3089534353001157632,snrg,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089534353001157632,snri,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089534353001157632,snrr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089534353001157632,snru,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089534353001157632,snrz,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089534353001157632,source_id,data/processed/gaia_lamost_candidate_diagnostic_table.csv,available,3089534353001157632,dimensionless,local repository file,not missing,field availability audit
local_pre_query,3089534353001157632,visibility_periods_used,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,count,local repository file,column missing,quality/completeness audit
local_pre_query,3089847099636770560,astrometric_params_solved,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,dimensionless,local repository file,column missing,quality/completeness audit
local_pre_query,3089847099636770560,dec,data/processed/project_ii_angular_momentum_candidates.csv,column_present_value_missing,,deg,local repository file,value missing,coordinate central value for orbit pipeline
local_pre_query,3089847099636770560,dec_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas,local repository file,column missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
local_pre_query,3089847099636770560,dec_parallax_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089847099636770560,dec_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089847099636770560,dec_pmra_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089847099636770560,duplicated_source,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,boolean,local repository file,column missing,quality/completeness audit
local_pre_query,3089847099636770560,parallax,data/processed/gaia_lamost_candidate_diagnostic_table.csv,available,0.637150856719755,mas,local repository file,not missing,central value for later correlated astrometric MC
local_pre_query,3089847099636770560,parallax_error,data/processed/project_vi_mc_prototype_candidate_uncertainties.csv,available,0.02381598589021094,mas,local repository file,not missing,standard uncertainty for later parallax/pm covariance matrix
local_pre_query,3089847099636770560,parallax_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,correlation coefficient for 3D parallax/pm covariance matrix
local_pre_query,3089847099636770560,parallax_pmra_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,correlation coefficient for 3D parallax/pm covariance matrix
local_pre_query,3089847099636770560,pmdec,data/processed/gaia_lamost_larger_chemo_kinematic_features.csv,available,-36.356421286612786,mas/yr,local repository file,not missing,central value for later correlated astrometric MC
local_pre_query,3089847099636770560,pmdec_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas/yr,local repository file,column missing,standard uncertainty for later parallax/pm covariance matrix
local_pre_query,3089847099636770560,pmra,data/processed/gaia_lamost_larger_chemo_kinematic_features.csv,available,-42.072760482673594,mas/yr,local repository file,not missing,central value for later correlated astrometric MC
local_pre_query,3089847099636770560,pmra_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas/yr,local repository file,column missing,standard uncertainty for later parallax/pm covariance matrix
local_pre_query,3089847099636770560,pmra_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,correlation coefficient for 3D parallax/pm covariance matrix
local_pre_query,3089847099636770560,ra,data/processed/project_ii_angular_momentum_candidates.csv,column_present_value_missing,,deg,local repository file,value missing,coordinate central value for orbit pipeline
local_pre_query,3089847099636770560,ra_dec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089847099636770560,ra_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,mas,local repository file,column missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
local_pre_query,3089847099636770560,ra_parallax_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089847099636770560,ra_pmdec_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089847099636770560,ra_pmra_corr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,correlation coefficient,local repository file,column missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
local_pre_query,3089847099636770560,radial_velocity,data/processed/project_vi_mc_prototype_candidate_uncertainties.csv,available,-11.29,km/s,local repository file,not missing,radial-velocity central value audit
local_pre_query,3089847099636770560,radial_velocity_error,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,km/s,local repository file,column missing,radial-velocity measured uncertainty audit
local_pre_query,3089847099636770560,ruwe,data/processed/gaia_lamost_larger_chemo_kinematic_features.csv,available,0.9338144,dimensionless,local repository file,not missing,quality/completeness audit
local_pre_query,3089847099636770560,rv,data/processed/gaia_lamost_candidate_diagnostic_table.csv,available,-11.29,km/s,local repository file,not missing,radial-velocity central value audit
local_pre_query,3089847099636770560,rv_err,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,km/s,local repository file,column missing,radial-velocity measured uncertainty audit
local_pre_query,3089847099636770560,snrg,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089847099636770560,snri,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089847099636770560,snrr,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089847099636770560,snru,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089847099636770560,snrz,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,catalog-defined,local repository file,column missing,field availability audit
local_pre_query,3089847099636770560,source_id,data/processed/gaia_lamost_candidate_diagnostic_table.csv,available,3089847099636770560,dimensionless,local repository file,not missing,field availability audit
local_pre_query,3089847099636770560,visibility_periods_used,data/processed/gaia_lamost_candidate_diagnostic_table.csv,missing_column,,count,local repository file,column missing,quality/completeness audit
local_pre_query,target_match_unavailable,rv,data/processed/project_v_core_feature_correlations.csv,schema_only_no_target_source_id,,km/s,local file schema,target rows cannot be matched by source_id,radial-velocity central value audit
gaia_dr3_retrieved,3089534353001157632,source_id,gaiadr3.gaia_source,available,3089534353001157632,dimensionless,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,field availability audit
gaia_dr3_retrieved,3089534353001157632,ra,gaiadr3.gaia_source,available,124.17699360479357,deg,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate central value for orbit pipeline
gaia_dr3_retrieved,3089534353001157632,ra_error,gaiadr3.gaia_source,available,0.015249501,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
gaia_dr3_retrieved,3089534353001157632,dec,gaiadr3.gaia_source,available,0.7374494221361896,deg,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate central value for orbit pipeline
gaia_dr3_retrieved,3089534353001157632,dec_error,gaiadr3.gaia_source,available,0.0115004275,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,coordinate uncertainty audit; not used until unit/frame treatment is defined
gaia_dr3_retrieved,3089534353001157632,parallax,gaiadr3.gaia_source,available,0.4587656346030645,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,central value for later correlated astrometric MC
gaia_dr3_retrieved,3089534353001157632,parallax_error,gaiadr3.gaia_source,available,0.018229531,mas,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,standard uncertainty for later parallax/pm covariance matrix
gaia_dr3_retrieved,3089534353001157632,pmra,gaiadr3.gaia_source,available,2.906363530788064,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,central value for later correlated astrometric MC
gaia_dr3_retrieved,3089534353001157632,pmra_error,gaiadr3.gaia_source,available,0.01854747,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,standard uncertainty for later parallax/pm covariance matrix
gaia_dr3_retrieved,3089534353001157632,pmdec,gaiadr3.gaia_source,available,-36.28302820325773,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,central value for later correlated astrometric MC
gaia_dr3_retrieved,3089534353001157632,pmdec_error,gaiadr3.gaia_source,available,0.014079297,mas/yr,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,standard uncertainty for later parallax/pm covariance matrix
gaia_dr3_retrieved,3089534353001157632,ra_dec_corr,gaiadr3.gaia_source,available,-0.025346631,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089534353001157632,ra_parallax_corr,gaiadr3.gaia_source,available,-0.056055173,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089534353001157632,ra_pmra_corr,gaiadr3.gaia_source,available,0.06314212,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
gaia_dr3_retrieved,3089534353001157632,ra_pmdec_corr,gaiadr3.gaia_source,available,0.25546312,correlation coefficient,Gaia TAP query saved to data/raw/project_vi_priority_a_gaia_dr3_astrometry.csv,not missing,retrieved for full astrometric audit; not used in first 3D covariance matrix
